SKU,Model,Name,Description,MSRP,SalePrice,Category,SubCategory,Type,Builder,ComponentType,Badge,CompatibleTools,Tags,SortOrder,Active,Featured,RuntimeLow_82BD250,RuntimeHigh_82BD250,RuntimeLow_82BD400,RuntimeHigh_82BD400,RuntimeLow_82BD500,RuntimeHigh_82BD500,RuntimeLow_82BD800,RuntimeHigh_82BD800,RuntimeLow_CORE300,RuntimeHigh_CORE300,RuntimeLow_CORE360,RuntimeHigh_CORE360,RuntimeLow_CORE400,RuntimeHigh_CORE400,RuntimeLow_CORE530,RuntimeHigh_CORE530,RuntimeLow_CORE700,RuntimeHigh_CORE700,RuntimeLow_82BBH12,RuntimeHigh_82BBH12,AirVelocity,AirVolume,BladeDiameter,Weight,CuttingWidth,BladeLength,ExtensionLength,ImageURL,ProductURL
2966002, ,Power Cutter Cart,Power Cutter Accessory for Greenworks 82PC12 and PC141,899.99,899.99,Accessories,Carts,Power Cutter Cart,82V Configurator,Accessory,COMMERCIAL,82PC12;PC141,2966002;Power Cutter Cart;Cut-Off Cart;Accessory;Greenworks Commercial,10,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,, , ,,,,,, , 
2966102, ,3-Gallon Water Tank,3-gallon water tank accessory for Greenworks 82PC12 and PC141 power cutters. Provides water flow for dust suppression during concrete and masonry cutting.,104.99,104.99,Accessories,Tanks,Water Tank,82V Configurator,Accessory,COMMERCIAL,82PC12;PC141,2966102;Water Tank;Sprayer Tank;Accessory;Greenworks Commercial,11,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,, , ,,,,,, , 
