SKU,Model,Name,Description,MSRP,SalePrice,Category,SubCategory,Type,Builder,ComponentType,Badge,CompatibleTools,Tags,SortOrder,Active,Featured,RuntimeLow_82BD250,RuntimeHigh_82BD250,RuntimeLow_82BD400,RuntimeHigh_82BD400,RuntimeLow_82BD500,RuntimeHigh_82BD500,RuntimeLow_82BD800,RuntimeHigh_82BD800,RuntimeLow_CORE300,RuntimeHigh_CORE300,RuntimeLow_CORE360,RuntimeHigh_CORE360,RuntimeLow_CORE400,RuntimeHigh_CORE400,RuntimeLow_CORE530,RuntimeHigh_CORE530,RuntimeLow_CORE700,RuntimeHigh_CORE700,RuntimeLow_82BBH12,RuntimeHigh_82BBH12,AirVelocity,AirVolume,BladeDiameter,Weight,CuttingWidth,BladeLength,ExtensionLength,ImageURL,ProductURL
1818802,OAS-ST,OAS-ST String Trimmer Attachment,Commercial string trimmer attachment for Greenworks OAS132 and OAS162 attachment-capable systems.,199.99,199.99,OAS Attachments,String Trimmer Attachments,String Trimmer Attachment,82V Configurator,Attachment,COMMERCIAL,OAS132;OAS162,OAS-ST;1818802;String Trimmer Attachment;OAS Attachment;OAS132;OAS162,10,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,, , ,,,,,, , 
1819502,OAS-BC,OAS-BC Brushcutter Attachment,Commercial brush cutter attachment for Greenworks OAS132 and OAS162 attachment-capable systems.,199.99,199.99,OAS Attachments,Brush Cutter Attachments,Brush Cutter Attachment,82V Configurator,Attachment,COMMERCIAL,OAS132;OAS162,OAS-BC;1819502;Brush Cutter Attachment;OAS Attachment;OAS132;OAS162,11,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,, , ,,,,,, , 
